Date and Time (UTC),Receiver,Description,Data
2019-06-02 15:09,VR2AR-547109,Temperature,4.8
2019-06-02 15:14,VR2AR-547109,Temperature,4.8
2019-06-02 15:19,VR2AR-547109,Temperature,4.8
2019-06-02 15:24,VR2AR-547109,Temperature,4.8
2019-06-02 15:29,VR2AR-547109,Temperature,4.9
2019-06-02 15:34,VR2AR-547109,Temperature,5
2019-06-02 15:39,VR2AR-547109,Temperature,5.1
2019-06-02 15:44,VR2AR-547109,Temperature,5.2
2019-06-02 15:49,VR2AR-547109,Temperature,5.2
2019-06-02 15:54,VR2AR-547109,Temperature,5.2
2019-06-02 15:59,VR2AR-547109,Temperature,5.2
